displayName,givenName,surname,userPrincipalName,department,jobTitle,managerUPN,usageLocation
Nosipho October,Nosipho,October,nosipho.october@ThelmaGrace2026.onmicrosoft.com,Finance,Head of Finance,,ZA
Andre Tshabalala,Andre,Tshabalala,andre.tshabalala@ThelmaGrace2026.onmicrosoft.com,Finance,Cost Accountant,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Ayanda Jacobs,Ayanda,Jacobs,ayanda.jacobs@ThelmaGrace2026.onmicrosoft.com,Finance,Cost Accountant,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Buhle Govender,Buhle,Govender,buhle.govender@ThelmaGrace2026.onmicrosoft.com,Finance,Financial Controller,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Buhle Van der Merwe,Buhle,Van der Merwe,buhle.vandermerwe@ThelmaGrace2026.onmicrosoft.com,Finance,Finance Officer,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Caitlin Ngcobo,Caitlin,Ngcobo,caitlin.ngcobo@ThelmaGrace2026.onmicrosoft.com,Finance,Accounts Receivable Clerk,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Chloe Moodley,Chloe,Moodley,chloe.moodley@ThelmaGrace2026.onmicrosoft.com,Finance,Management Accountant,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Lungile Mnguni,Lungile,Mnguni,lungile.mnguni@ThelmaGrace2026.onmicrosoft.com,Finance,Financial Controller,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Megan Hadebe,Megan,Hadebe,megan.hadebe@ThelmaGrace2026.onmicrosoft.com,Finance,Finance Business Partner,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Naledi Ngwenya,Naledi,Ngwenya,naledi.ngwenya@ThelmaGrace2026.onmicrosoft.com,Finance,Management Accountant,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Nkosana October,Nkosana,October,nkosana.october@ThelmaGrace2026.onmicrosoft.com,Finance,Bookkeeper,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Nkululeko Nene,Nkululeko,Nene,nkululeko.nene@ThelmaGrace2026.onmicrosoft.com,Finance,Bookkeeper,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Ntando Le Roux,Ntando,Le Roux,ntando.leroux@ThelmaGrace2026.onmicrosoft.com,Finance,Financial Analyst,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Sizwe Booysen,Sizwe,Booysen,sizwe.booysen@ThelmaGrace2026.onmicrosoft.com,Finance,Credit Analyst,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Sphesihle Adams,Sphesihle,Adams,sphesihle.adams@ThelmaGrace2026.onmicrosoft.com,Finance,Management Accountant,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Themba Van der Merwe,Themba,Van der Merwe,themba.vandermerwe@ThelmaGrace2026.onmicrosoft.com,Finance,Payroll Administrator,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Vusi Mkhize,Vusi,Mkhize,vusi.mkhize@ThelmaGrace2026.onmicrosoft.com,Finance,Treasury Analyst,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Willem Arendse,Willem,Arendse,willem.arendse@ThelmaGrace2026.onmicrosoft.com,Finance,Accountant,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Zanele Joubert,Zanele,Joubert,zanele.joubert@ThelmaGrace2026.onmicrosoft.com,Finance,Financial Controller,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Zanele September,Zanele,September,zanele.september@ThelmaGrace2026.onmicrosoft.com,Finance,Cost Accountant,nosipho.october@ThelmaGrace2026.onmicrosoft.com,ZA
Sashin Mokoena,Sashin,Mokoena,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,HumanResources,Head of Human Resources,,ZA
Ashleigh Mkhize,Ashleigh,Mkhize,ashleigh.mkhize@ThelmaGrace2026.onmicrosoft.com,HumanResources,HR Officer,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Bheki Mthembu,Bheki,Mthembu,bheki.mthembu@ThelmaGrace2026.onmicrosoft.com,HumanResources,Recruitment Specialist,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Bongani Vermeulen,Bongani,Vermeulen,bongani.vermeulen@ThelmaGrace2026.onmicrosoft.com,HumanResources,Learning & Development Officer,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Christo Madonsela,Christo,Madonsela,christo.madonsela@ThelmaGrace2026.onmicrosoft.com,HumanResources,HR Officer,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Hlengiwe Venter,Hlengiwe,Venter,hlengiwe.venter@ThelmaGrace2026.onmicrosoft.com,HumanResources,Employee Relations Officer,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Lungile Adams,Lungile,Adams,lungile.adams@ThelmaGrace2026.onmicrosoft.com,HumanResources,HR Administrator,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Mandla Hendricks,Mandla,Hendricks,mandla.hendricks@ThelmaGrace2026.onmicrosoft.com,HumanResources,Recruitment Specialist,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Ntando Jacobs,Ntando,Jacobs,ntando.jacobs@ThelmaGrace2026.onmicrosoft.com,HumanResources,Compensation & Benefits Analyst,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Olwethu Zulu,Olwethu,Zulu,olwethu.zulu@ThelmaGrace2026.onmicrosoft.com,HumanResources,Payroll Specialist,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Sibusiso Maseko,Sibusiso,Maseko,sibusiso.maseko@ThelmaGrace2026.onmicrosoft.com,HumanResources,HR Business Partner,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Thandi Mabaso,Thandi,Mabaso,thandi.mabaso@ThelmaGrace2026.onmicrosoft.com,HumanResources,HR Officer,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Vusi Adams,Vusi,Adams,vusi.adams@ThelmaGrace2026.onmicrosoft.com,HumanResources,Compensation & Benefits Analyst,sashin.mokoena@ThelmaGrace2026.onmicrosoft.com,ZA
Brandon Smit,Brandon,Smit,brandon.smit@ThelmaGrace2026.onmicrosoft.com,Operations,Head of Operations,,ZA
Andile Du Toit,Andile,Du Toit,andile.dutoit@ThelmaGrace2026.onmicrosoft.com,Operations,Operations Administrator,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Andre Khoza,Andre,Khoza,andre.khoza@ThelmaGrace2026.onmicrosoft.com,Operations,Process Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Christo Chetty,Christo,Chetty,christo.chetty@ThelmaGrace2026.onmicrosoft.com,Operations,Process Analyst,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Christo Jacobs,Christo,Jacobs,christo.jacobs@ThelmaGrace2026.onmicrosoft.com,Operations,Branch Operations Lead,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
Dumisani September,Dumisani,September,dumisani.september@ThelmaGrace2026.onmicrosoft.com,Operations,Logistics Coordinator,brandon.smit@ThelmaGrace2026.onmicrosoft.com,ZA
